Round,Mean_Variance,Number_of_outliers,Layer,Attack_Type,MALICIOUS_NODE_RATIO,MALICIOUS_DATA_RATIO,Weight_Min,Weight_Max,Weight_Mean,Weight_Median,Weight_Std,Weight_Q25,Weight_Q75,First_Weight,Run_ID,Source File,Is Malicious Data
1,0.0,0,distilbert.transformer.layer.5.attention.out_lin.weight,normal,0.0,0.0,-0.5040492,0.421395,1.1461639e-06,-3.1494124e-05,0.045134977,-0.029969774,0.029966883,0.0296707823872566,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.5.attention.out_lin.weight,normal,0.0,0.0,-0.50442815,0.4195657,1.2135246e-07,-1.9430683e-05,0.045135863,-0.029948622,0.029979475,0.0297587607055902,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.0.ffn.lin1.weight,normal,0.0,0.0,-0.34696868,0.32545993,-5.574683e-06,-0.0001318418,0.041605722,-0.02713153,0.026969498,-0.0357799641788005,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.0.ffn.lin1.weight,normal,0.0,0.0,-0.34569657,0.32598716,-4.501705e-06,-0.0001290784,0.041604266,-0.027126703,0.026972283,-0.0360499545931816,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.1.attention.k_lin.weight,normal,0.0,0.0,-0.5831421,0.51444435,4.2828175e-05,2.914132e-05,0.055067834,-0.033875767,0.03394478,0.0856372192502021,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.1.attention.k_lin.weight,normal,0.0,0.0,-0.58013815,0.5141137,4.4491593e-05,4.604272e-05,0.055075407,-0.03388706,0.033932187,0.0854823216795921,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.3.attention.k_lin.weight,normal,0.0,0.0,-0.42380345,0.4794216,-7.805167e-06,-8.019114e-05,0.049344517,-0.03253185,0.03251864,0.0492625348269939,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.3.attention.k_lin.weight,normal,0.0,0.0,-0.4236558,0.4805833,-8.811465e-06,-7.458666e-05,0.04934508,-0.03251355,0.032530293,0.0491717644035816,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.3.ffn.lin1.weight,normal,0.0,0.0,-0.38211635,0.48241934,0.00065638556,0.0005223389,0.04331261,-0.02747305,0.028564941,0.0265103373676538,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.3.ffn.lin1.weight,normal,0.0,0.0,-0.3822262,0.48229218,0.00065694697,0.0005356326,0.043311853,-0.027469456,0.028554885,0.0258660521358251,0,dataset_normal.csv,False
