,Mean_Variance_mean,Mean_Variance_std,Mean_Variance_min,Mean_Variance_max,Mean_Variance_median,Number_of_outliers_mean,Number_of_outliers_std,Number_of_outliers_min,Number_of_outliers_max,Number_of_outliers_median,Num_Layers,Middle_Mean_Variance_mean,Middle_Mean_Variance_std,Middle_Mean_Variance_min,Middle_Mean_Variance_max,Middle_Mean_Variance_median,Middle_Mean_Variance_Change_Rate_mean,Middle_Mean_Variance_Change_Rate_std,Middle_Mean_Variance_Change_Rate_min,Middle_Mean_Variance_Change_Rate_max,Middle_Mean_Variance_Change_Rate_median,Final_Mean_Variance_mean,Final_Mean_Variance_std,Final_Mean_Variance_min,Final_Mean_Variance_max,Final_Mean_Variance_median,Final_Mean_Variance_Change_Rate_mean,Final_Mean_Variance_Change_Rate_std,Final_Mean_Variance_Change_Rate_min,Final_Mean_Variance_Change_Rate_max,Final_Mean_Variance_Change_Rate_median,Attack_Type
Middle_Mean_Variance_Change_Rate_max,-0.18180800644122766,-0.20789106737038812,-0.1856813227800773,-0.2191453038714095,-0.17860033922616572,-0.10152009174531958,-0.0417317768134388,,-0.0942592179989175,,,-0.18676946096264602,-0.2212224467869621,-0.13450175398576136,-0.22297687212619358,-0.18783074379702794,0.8408724613118024,0.9543411799088314,0.9317644205617778,1.0,-0.768922498262489,-0.17806880304479228,-0.24038732756425552,-0.19172759181036045,-0.2756636438239281,-0.1983488204839707,-0.6022813254232109,-0.6377622352001014,0.19223179114510405,-0.5243748802401811,-0.06304565117307537,-0.18706782554891055
Middle_Mean_Variance_Change_Rate_median,0.45329384697363007,0.4294294111515839,0.4911901601483799,0.44548347432482793,0.45754913681112636,0.4132637937007037,0.3585563375930062,,0.3456578320116345,,,0.4575880566529849,0.4263806967165101,0.44937790539776773,0.4474996170381252,0.46714292595510254,-0.8348499554926279,-0.8870438831419559,-0.6866527173205484,-0.768922498262489,1.0,0.45426557595327766,0.4298977265802133,0.4822163776473128,0.4922169616695458,0.46736897528712895,0.6800197243586198,0.6875957672225126,-0.35695313308668897,0.6844213522787367,-0.07010933470272546,0.4646362363166407
Final_Mean_Variance_mean,0.9994349381326746,0.9798353432204632,0.995807188420532,0.9872519167134545,0.9991439165516689,0.3768349826876996,0.35883220359125956,,0.22423882220441435,,,0.9993839791939226,0.9725686182072462,0.9954072882372691,0.986672651873891,0.9981130063525301,-0.620859587761816,-0.29746119571095114,0.14308120951324083,-0.17806880304479228,0.45426557595327766,1.0,0.9407652167614738,0.9979414226545101,0.9799809523078197,0.9960546605454424,0.6022114865536006,0.581302621683239,0.03229088123645768,0.8555458980214645,0.22538839491857968,0.998947007498389
Final_Mean_Variance_std,0.9479144149436096,0.9865404764181411,0.9169806490011125,0.9789536656310873,0.9369390438616195,0.4012292741277115,0.3878010267014255,,0.20734603271105417,,,0.9486292384080148,0.9869393755101102,0.9116511894329006,0.9792056192618481,0.9341690314803526,-0.6236485977348112,-0.28733634427185195,0.043639747742489673,-0.24038732756425552,0.4298977265802133,0.9407652167614738,1.0,0.9254288427186286,0.9822572222799286,0.9217567526168383,0.6484735982412442,0.7458294868297347,-0.09673327672825054,0.9001379754281816,0.09931528200428473,0.939164136381975
Final_Mean_Variance_min,0.9960720082971504,0.9679591272149015,0.9987605362963441,0.977921105522887,0.9976218365618752,0.3944687945383928,0.3742469188290096,,0.24214489834247285,,,0.9961931638198324,0.9593470050651273,0.9971137518040744,0.9773634800108095,0.9961862399315732,-0.638080194117311,-0.3246036207412419,0.12740781054926992,-0.19172759181036045,0.4822163776473128,0.9979414226545101,0.9254288427186286,1.0,0.9722407960792772,0.9981740565687637,0.5966078631469806,0.5690872398428841,0.04763869973848289,0.8539407103790703,0.22950559620621852,0.9964215244580252
Final_Mean_Variance_max,0.983649682494882,0.9940799565062877,0.9690294926210393,0.9951426613199796,0.9778459801106298,0.4034354783076784,0.3896614836397508,,0.237022197255225,,,0.9843376598332387,0.9915413268179585,0.9601360271460015,0.9951649433957199,0.9765981727955063,-0.6802248124751833,-0.3562894874393306,0.03375840925818464,-0.2756636438239281,0.4922169616695458,0.9799809523078197,0.9822572222799286,0.9722407960792772,1.0,0.9725740541710949,0.6384661924505174,0.6950657726972691,-0.030974476609792797,0.9218271183645144,0.16147732550145558,0.9800135180460162
Final_Mean_Variance_median,0.9942550373175613,0.9653691182514151,0.9977640926253905,0.9760117995719462,0.9959760321495962,0.39407943726874833,0.37767152581315977,,0.249060072744092,,,0.9944023997191789,0.9569851549619485,0.9944410223680302,0.9754565277624737,0.9938233428662491,-0.6442791808073856,-0.32701272535728426,0.12821260992786881,-0.1983488204839707,0.46736897528712895,0.9960546605454424,0.9217567526168383,0.9981740565687637,0.9725740541710949,1.0,0.5720973677691986,0.5529955885199805,0.08245603339710006,0.8577123917893994,0.24486778443142102,0.9945492288453449
Final_Mean_Variance_Change_Rate_mean,0.6129534247153712,0.630090175998631,0.5783477097734593,0.6263761500733128,0.6116299528743027,0.10481591442700391,0.03063214735617335,,0.02286085506499801,,,0.6156448163728512,0.6244758543579509,0.5819139559072658,0.6276756399424626,0.6266469394604591,-0.6456363481332106,-0.6013649460002741,-0.424338407683583,-0.6022813254232109,0.6800197243586198,0.6022114865536006,0.6484735982412442,0.5966078631469806,0.6384661924505174,0.5720973677691986,1.0,0.8416954405071156,-0.5097170381216629,0.6734840665212329,0.2843209153326628,0.6145135435994505
Final_Mean_Variance_Change_Rate_std,0.5937004339097496,0.6712165010400377,0.5574992743982601,0.6576234423641174,0.579791564289764,0.1895582304196039,0.15226873170199423,,0.009736165033619399,,,0.5979493415159021,0.6776097336009143,0.5314121279825771,0.660194677442991,0.5925130923157458,-0.7056370471127735,-0.5995454999963087,-0.5051082160646361,-0.6377622352001014,0.6875957672225126,0.581302621683239,0.7458294868297347,0.5690872398428841,0.6950657726972691,0.5529955885199805,0.8416954405071156,1.0,-0.4535925951917898,0.817578323300865,-0.04590073591759247,0.5870953230061519
Final_Mean_Variance_Change_Rate_min,0.012709117320680722,-0.026958097396609055,0.045985235992372545,-0.00038784717268763527,0.014072062177536341,-0.20835977138975662,-0.17239412527641151,,-0.2373417926861942,,,0.012404073186998993,-0.01393949010412694,0.0381533984954323,0.0017543299610235776,0.00023640449329029217,0.08764046403542068,0.1807197751397674,0.2650085816466007,0.19223179114510405,-0.35695313308668897,0.03229088123645768,-0.09673327672825054,0.04763869973848289,-0.030974476609792797,0.08245603339710006,-0.5097170381216629,-0.4535925951917898,1.0,-0.20342142073611374,-0.12315521161086164,-0.0005943372953160829
