Round,Mean_Variance,Number_of_outliers,Layer,Attack_Type,MALICIOUS_NODE_RATIO,MALICIOUS_DATA_RATIO,Weight_Min,Weight_Max,Weight_Mean,Weight_Median,Weight_Std,Weight_Q25,Weight_Q75,First_Weight,Run ID
1,0.0,0,distilbert.transformer.layer.5.attention.v_lin.weight,random,0.1,0.1,-0.31334817,0.2591139,2.0760386e-05,1.6437647e-05,0.048163734,-0.03157191,0.031665947,0.0381625182926654,0
2,0.0,0,distilbert.transformer.layer.5.attention.v_lin.weight,random,0.1,0.1,-0.31249782,0.25875592,2.0563739e-05,2.9976509e-05,0.04816202,-0.031545915,0.03168668,0.0384868420660495,0
1,0.0,0,distilbert.transformer.layer.0.attention.v_lin.weight,random,0.1,0.1,-0.19170944,0.19992682,-7.390851e-05,-9.768289e-05,0.034166943,-0.022577073,0.022332843,0.0268753115087747,0
2,0.0,0,distilbert.transformer.layer.0.attention.v_lin.weight,random,0.1,0.1,-0.18877651,0.19992332,-7.0526774e-05,-0.0001029525,0.034170423,-0.02256117,0.022344634,0.0248777624219656,0
2,0.0,0,distilbert.transformer.layer.1.ffn.lin2.weight,random,0.1,0.1,-4.031601,1.1722943,-3.557993e-05,-4.3668733e-05,0.043091446,-0.026746254,0.026714273,-0.0506299324333667,0
1,0.0,0,distilbert.transformer.layer.1.ffn.lin2.weight,random,0.1,0.1,-4.0315304,1.1719949,-3.633811e-05,-4.2456268e-05,0.043092415,-0.026754087,0.026705693,-0.0517716966569423,0
1,0.0,0,distilbert.transformer.layer.2.attention.q_lin.weight,random,0.1,0.1,-0.3892058,0.39091837,-0.00018970604,-0.00019167342,0.047503296,-0.031403646,0.03102919,0.0693600699305534,0
2,0.0,0,distilbert.transformer.layer.2.attention.q_lin.weight,random,0.1,0.1,-0.38904768,0.39081365,-0.00019054463,-0.00021029034,0.047507633,-0.031441048,0.031007074,0.0701504945755004,0
2,0.0,0,distilbert.transformer.layer.1.sa_layer_norm.weight,random,0.1,0.1,0.43273273,2.0608885,0.7822227,0.79356277,0.0909482,0.7452186,0.8320441,0.8500138521194458,0
1,0.0,0,distilbert.transformer.layer.1.sa_layer_norm.weight,random,0.1,0.1,0.4353719,2.0614345,0.78227895,0.79352283,0.090994775,0.74539775,0.8321687,0.8503572344779968,0
1,0.0,0,distilbert.transformer.layer.5.attention.out_lin.weight,random,0.1,0.1,-0.50469875,0.42019835,1.8448684e-06,-1.561135e-05,0.04513705,-0.02992361,0.02997386,0.0289715379476547,0
2,0.0,0,distilbert.transformer.layer.5.attention.out_lin.weight,random,0.1,0.1,-0.50400716,0.41834608,1.8838141e-06,-2.9857085e-05,0.045135427,-0.029924171,0.029959496,0.0281808022409677,0
2,0.0,0,distilbert.transformer.layer.0.ffn.lin1.weight,random,0.1,0.1,-0.346497,0.324565,-4.7939166e-06,-0.0001332779,0.04160294,-0.027127866,0.026978962,-0.0345248878002166,0
1,0.0,0,distilbert.transformer.layer.0.ffn.lin1.weight,random,0.1,0.1,-0.34545162,0.3254996,-5.3472195e-06,-0.00012746445,0.041604266,-0.027122332,0.026975665,-0.0362394414842128,0
1,0.0,0,distilbert.transformer.layer.1.attention.k_lin.weight,random,0.1,0.1,-0.5840823,0.5160164,4.284847e-05,3.165487e-05,0.055068992,-0.03386915,0.033924457,0.0858929529786109,0
2,0.0,0,distilbert.transformer.layer.1.attention.k_lin.weight,random,0.1,0.1,-0.5822502,0.5147024,4.2187603e-05,5.0757357e-05,0.055065967,-0.033881128,0.03390839,0.0863061025738716,0
1,0.0,0,distilbert.transformer.layer.3.attention.k_lin.weight,random,0.1,0.1,-0.42426527,0.47990897,-7.410879e-06,-7.592719e-05,0.049348775,-0.032507822,0.03252127,0.0512194074690341,0
2,0.0,0,distilbert.transformer.layer.3.attention.k_lin.weight,random,0.1,0.1,-0.42441148,0.4788543,-7.861408e-06,-6.190319e-05,0.049348317,-0.032501344,0.032520525,0.0512099489569664,0
2,0.0,0,distilbert.transformer.layer.3.ffn.lin1.weight,random,0.1,0.1,-0.38202867,0.48274213,0.0006560201,0.00053227704,0.043312248,-0.02746011,0.028555509,0.0294990967959165,0
1,0.0,0,distilbert.transformer.layer.3.ffn.lin1.weight,random,0.1,0.1,-0.38327417,0.48499987,0.00065607426,0.00052035897,0.043313917,-0.027474955,0.028551426,0.0277692750096321,0
1,0.0,0,distilbert.transformer.layer.2.sa_layer_norm.weight,random,0.1,0.1,0.40928057,3.8924692,0.7490385,0.7604339,0.14828396,0.69133985,0.8080037,0.8458818197250366,0
2,0.0,0,distilbert.transformer.layer.2.sa_layer_norm.weight,random,0.1,0.1,0.4084638,3.8925183,0.7490116,0.76041746,0.1482721,0.6929206,0.80826795,0.8459067940711975,0
2,0.0,0,distilbert.transformer.layer.4.attention.out_lin.weight,random,0.1,0.1,-0.38416666,0.43732926,7.67383e-06,-8.891703e-05,0.044510067,-0.029261375,0.029258132,-0.0188876502215862,0
1,0.0,0,distilbert.transformer.layer.4.attention.out_lin.weight,random,0.1,0.1,-0.38570476,0.437462,7.044919e-06,-7.758773e-05,0.044508073,-0.029260099,0.029252134,-0.0190908852964639,0
2,0.0,0,distilbert.transformer.layer.4.attention.q_lin.weight,random,0.1,0.1,-0.2523613,0.24996108,-0.00021395921,-0.00020782827,0.04880532,-0.032765526,0.032306977,0.0515445061028003,0
1,0.0,0,distilbert.transformer.layer.4.attention.q_lin.weight,random,0.1,0.1,-0.25434905,0.24877372,-0.0002123152,-0.0002178596,0.048800673,-0.032747738,0.032333143,0.053211648017168,0
1,0.0,0,distilbert.embeddings.word_embeddings.weight,random,0.1,0.1,-1.0940688,0.59363866,-0.038322795,-0.039396904,0.046988092,-0.06762261,-0.01131577,-0.0166448429226875,0
2,0.0,0,distilbert.embeddings.word_embeddings.weight,random,0.1,0.1,-1.093693,0.5919381,-0.038322765,-0.039399892,0.046987787,-0.06762175,-0.011315358,-0.0166448429226875,0
4,0.0,0,classifier.weight,random,0.1,0.1,-0.061528433,0.062434223,-0.0005145199,-0.00090439024,0.020367553,-0.014167502,0.013769299,0.0112246563658118,0
2,0.0,0,classifier.weight,random,0.1,0.1,-0.06290072,0.063271426,-0.00051459664,-0.0007263455,0.02043718,-0.0145964725,0.013570119,0.0119488853961229,0
1,0.0,0,distilbert.transformer.layer.3.attention.v_lin.weight,random,0.1,0.1,-0.32907525,0.2693112,0.00018410744,0.0002177726,0.04610104,-0.029666662,0.0299876,-0.0169799160212278,0
2,0.0,0,distilbert.transformer.layer.3.attention.v_lin.weight,random,0.1,0.1,-0.3303386,0.27184653,0.00018403091,0.00021344417,0.04610159,-0.029671201,0.029996546,-0.0154468119144439,0
2,0.0,0,distilbert.transformer.layer.1.ffn.lin1.weight,random,0.1,0.1,-0.6872323,0.60273564,0.00016187794,1.3308233e-05,0.044708494,-0.028708529,0.02886413,0.011675402522087,0
